id;name;contact_no;address;city
1;West collaboration parse;AI e-enabl;Product;North Haylie
2;Beauty;repurpose ;Fantastic;Sisterside
3;FTP dynamic Concrete;New;generate York cross-platform;Akron
4;emulation Tools Director;blue;paradigms Salad;Swaniawskifort
5;Proactive Forward;Gloves;wireless seamless;North Jace
6;navigating Robust;Chair Auto;Chips;Owensboro
7;Lead synthesize;Plains Pro;Keyboard out-of-the-box up;Flossietown
8;invoice Toys Montenegro;Bike appli;Pennsylvania embrace;Rutherfordmouth
9;visualize discrete Taiwan;deposit;Intelligent Group infrastructure;Marielafort
10;Plastic;lime Distr;functionalities bandwidth program;Catalinaside
